seed_lot,crop,genotype_class,seed_age_class,latent_vigor,latent_tolerance,stress,intervention,replicate,baseline_germ_pct,baseline_root_cm,baseline_shoot_cm,baseline_el_pct,baseline_mda,baseline_proline,baseline_catalase,germination_pct,t50_days,root_length_cm,shoot_length_cm,seedling_length_cm,vigour_index,electrolyte_leakage_pct,mda,proline,catalase,recovery_pct
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,None,1,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,78.98321549190435,4.10435799965509,4.114204620878604,3.8756223343563567,7.98982695523496,631.0622241483488,26.491438164444357,3.5833836800690237,20.770422128543714,0.015457116463332653,90.24910674384927
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,None,2,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,83.81166179813388,4.0104047905119495,3.950496120660204,4.469864869160073,8.420360989820278,705.724447497017,26.518295371518043,4.089072849588954,16.374699398490986,0.018024560651066418,93.97861142013817
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,None,3,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,79.4183055013468,4.516985001268379,3.8189205115502025,5.005289863106377,8.82421037465658,700.8038353426301,25.74830306487197,4.40930289466595,16.16514918084483,0.017690891804384587,88.10315005461558
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,None,4,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,76.82707475358391,4.653894453922056,4.098419258384684,4.671146381752319,8.769565640137003,673.7400749912665,27.161397034723457,3.9036610212043343,15.392114159655613,0.01583347619758566,93.84015239151925
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,None,5,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,82.79034544137728,4.483358901900494,4.1497842271794525,3.920694361144876,8.070478588324328,668.15771020461,26.75724603768134,3.7345427840818326,21.662708997280497,0.019335163659366977,100.0
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Hydropriming,1,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,78.94960428121676,3.987712194137246,3.9645371839981554,4.117705915551888,8.082243099550043,638.0898944140707,25.778951801530596,4.29825227821017,18.161152429693026,0.023773422917469356,97.34150452831221
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Hydropriming,2,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,78.53474048931719,4.2923275730964106,4.156006287758436,4.9110173776934865,9.067023665451924,712.0763505767643,26.907128551660307,2.509058968512915,20.8428903075597,0.02194045125816165,94.65744464706825
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Hydropriming,3,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,80.37694181716874,4.3260851792770305,3.333868705720179,4.383704841402443,7.717573547122622,620.3149599667955,26.777004135051573,3.454722667130159,15.951701985754465,0.020762843034516233,99.69930265252518
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Hydropriming,4,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,80.9694176499792,4.240339769587737,3.8441017545120277,4.603586637687703,8.44768839219973,684.0044096049013,26.013130553738634,3.3720203731084917,17.394196354640723,0.02098214081542099,90.24288197246945
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Hydropriming,5,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,80.88784056849143,4.160278796759013,4.120887171093453,4.451140444746434,8.572027615839886,693.3728031387624,22.43710695486368,3.4986538701088885,17.34903924485372,0.02016180258324207,95.44364121018509
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Melatonin,1,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,81.15766701786634,4.124539206859934,3.3579479004758266,4.441652245118931,7.7996001455947574,632.9973514886811,26.034923114188643,2.8330287602275748,17.810290949820324,0.022714434849916774,91.44105455130851
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Melatonin,2,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,83.00459691211755,3.817492244377201,4.2926943872708625,4.68691599186661,8.979610379137473,745.348939948173,24.444251411864865,2.5,18.6662202042203,0.027164769640947217,92.338314390689
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Melatonin,3,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,78.73179555182307,3.8067212979196596,4.064395803611165,4.298563711518836,8.362959515130001,658.4308187533886,22.442904407669758,2.5,18.326426214725032,0.020945009920859656,100.0
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Melatonin,4,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,78.1894066449894,3.905654688316882,3.916796295158505,4.693661572964597,8.610457868123103,673.2465916502258,22.68124984736691,3.5078054338061726,12.083199219135805,0.02315312610639187,96.85847184149263
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,Melatonin,5,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,82.10209705527326,4.206911994469661,3.5965850770231627,4.053469423828413,7.650054500851576,628.0855171070461,22.785536955310494,3.0323129770347244,17.944993551310414,0.02142380894617028,97.13922449417133
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,ProteinHydrolysate,1,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,84.81197615369189,4.095719236779241,4.195359348149617,4.0922153585929015,8.287574706742518,702.8855884001865,20.00736851329928,3.6618395717389682,22.82643545339206,0.024612810592319987,100.0
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,ProteinHydrolysate,2,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,81.17949219317124,3.9973707442382884,4.317238881828563,5.01864430254988,9.335883184378442,757.8822560826085,20.33878677210403,2.9073700067233794,16.903217861473536,0.026099971810195202,97.4825571185837
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,ProteinHydrolysate,3,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,80.83926687415504,4.434009178693903,4.319031962993099,4.453506975317068,8.772538938310166,709.1656163979723,21.07240576878333,4.531727625020194,21.22765075966487,0.024539860116190845,91.80035669517105
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,ProteinHydrolysate,4,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,81.35372091393795,4.170929174155558,3.9513058509664436,4.663806555981323,8.615112406947766,700.8714503970327,21.360147649654955,2.9265943269240826,14.806107042312256,0.025361145324889367,99.56096726868768
TOM_001,Tomato,Intermediate,Aged,0.11768853810069249,1.3430298564080254,Control,ProteinHydrolysate,5,80.14753987582999,4.029517825830491,4.449606407753696,27.334869458305818,4.039157684219514,19.827680130757894,0.017273164614375076,80.6827742361555,4.172432246666766,3.5935092532812956,4.501560685509051,8.095069938790346,653.1327002973105,20.143604864338563,3.3768277977303525,19.52527487170785,0.023968234633362163,97.49942686500869
